scene_name,scene_avg_p,scene_avg_a,scene_avg_d,scene_avg_blur,scene_avg_optical_flow,scene_movie,paths,predict
big_hero_68,99.64055310058592,52.682390801323784,120.5811099717882,216.5989917759579,0.02113892696797848,big_hero_6,"['data\\scenes\\big_hero_6\\big_hero_6-Scene-8-0.jpg', 'data\\scenes\\big_hero_6\\big_hero_6-Scene-8-1.jpg', 'data\\scenes\\big_hero_6\\big_hero_6-Scene-8-2.jpg']",sad
big_hero_69,72.9283242594401,50.305583157009536,89.5607318250868,260.37693641438284,0.0,big_hero_6,"['data\\scenes\\big_hero_6\\big_hero_6-Scene-9-0.jpg', 'data\\scenes\\big_hero_6\\big_hero_6-Scene-9-1.jpg', 'data\\scenes\\big_hero_6\\big_hero_6-Scene-9-2.jpg']",sad
cars_30,125.26365953233505,-16.79694439019097,142.36015668402774,416.08014623720965,0.0013824307825416329,cars_3,"['data\\scenes\\cars_3\\cars_3-Scene-0-0.jpg', 'data\\scenes\\cars_3\\cars_3-Scene-0-1.jpg', 'data\\scenes\\cars_3\\cars_3-Scene-0-2.jpg']",joy
cars_31,43.01577232530382,40.690982476128475,54.05100260416666,276.1974683479732,0.0,cars_3,"['data\\scenes\\cars_3\\cars_3-Scene-1-0.jpg', 'data\\scenes\\cars_3\\cars_3-Scene-1-1.jpg', 'data\\scenes\\cars_3\\cars_3-Scene-1-2.jpg']",fear
cars_310,114.907686726888,13.396577406141493,133.79262592230904,491.04028619603804,0.018604526296257973,cars_3,"['data\\scenes\\cars_3\\cars_3-Scene-10-0.jpg', 'data\\scenes\\cars_3\\cars_3-Scene-10-1.jpg', 'data\\scenes\\cars_3\\cars_3-Scene-10-2.jpg']",joy
cars_311,93.35480662706163,21.94146271430121,109.926692328559,1153.3429719694645,0.0208432711660862,cars_3,"['data\\scenes\\cars_3\\cars_3-Scene-11-0.jpg', 'data\\scenes\\cars_3\\cars_3-Scene-11-1.jpg', 'data\\scenes\\cars_3\\cars_3-Scene-11-2.jpg']",sad
cars_312,81.713765625,25.85420369466145,96.95824967447918,1735.9316683315485,0.08795273303985596,cars_3,"['data\\scenes\\cars_3\\cars_3-Scene-12-0.jpg', 'data\\scenes\\cars_3\\cars_3-Scene-12-1.jpg', 'data\\scenes\\cars_3\\cars_3-Scene-12-2.jpg']",sad
cars_313,87.71015148925783,31.286139173719622,104.46622390407988,1374.7474742642692,0.030781295150518417,cars_3,"['data\\scenes\\cars_3\\cars_3-Scene-13-0.jpg', 'data\\scenes\\cars_3\\cars_3-Scene-13-1.jpg', 'data\\scenes\\cars_3\\cars_3-Scene-13-2.jpg']",sad
cars_314,163.63291962348092,61.17253941514756,195.20498773871532,1647.8247742597425,0.006340212188661098,cars_3,"['data\\scenes\\cars_3\\cars_3-Scene-14-0.jpg', 'data\\scenes\\cars_3\\cars_3-Scene-14-1.jpg', 'data\\scenes\\cars_3\\cars_3-Scene-14-2.jpg']",joy
cars_315,74.01273604329425,58.90577090115018,91.76528488498265,921.4764191120337,8.731310663279146e-05,cars_3,"['data\\scenes\\cars_3\\cars_3-Scene-15-0.jpg', 'data\\scenes\\cars_3\\cars_3-Scene-15-1.jpg', 'data\\scenes\\cars_3\\cars_3-Scene-15-2.jpg']",sad
